Word,Rank,Frequency
class,1718,12
bert,1719,12
remarkable,1720,12
heroes,1721,12
doubtfully,1722,12
connected,1723,12
horizon,1724,12
nearest,1725,12
foundation,1726,11
bell,1727,11
chamber,1728,11
fled,1729,11
inspector,1730,11
comfortable,1731,11
pipe,1732,11
idle,1733,11
commonplace,1734,11
solemnity,1735,11
mixed,1736,11
castle,1737,11
religious,1738,11
describe,1739,11
perpetually,1740,11
remarked,1741,11
islands,1742,11
fair,1743,11
comfort,1744,11
interesting,1745,11
dazed,1746,11
statement,1747,11
patiently,1748,11
romance,1749,11
tail,1750,11
fleet,1751,11
proved,1752,11
sanity,1753,11
tongue,1754,11
holy,1755,11
stirred,1756,11
orders,1757,11
cloak,1758,11
joined,1759,11
row,1760,11
sacred,1761,11
stiff,1762,11
separate,1763,11
daily,1764,11
smaller,1765,11
shapes,1766,11
gazed,1767,11
applause,1768,11
roads,1769,11
cigarette,1770,11
armagnac,1771,11
gates,1772,11
vain,1773,11
successful,1774,11
shore,1775,11
idiot,1776,11
insisted,1777,11
tables,1778,11
fourth,1779,11
inquiry,1780,11
curiously,1781,11
impatient,1782,11
western,1783,11
trace,1784,11
curved,1785,11
cabman,1786,11
cheerful,1787,11
artist,1788,11
breath,1789,11
treated,1790,11
deadly,1791,11
obvious,1792,11
changed,1793,11
literal,1794,11
tricks,1795,11
fond,1796,11
leaned,1797,11
tonight,1798,11
waving,1799,11
swallowed,1800,11
test,1801,11
wear,1802,11
tilted,1803,11
paid,1804,11
umbrella,1805,11
crowned,1806,11
gradually,1807,11
belongs,1808,11
receive,1809,11
expect,1810,11
bigger,1811,11
scotch,1812,11
tumbled,1813,11
promised,1814,11
paralytic,1815,11
courage,1816,11
glittering,1817,11
flames,1818,11
month,1819,11
prisoner,1820,11
engaged,1821,11
pooley,1822,11
assented,1823,11
government,1824,11
nodding,1825,11
parkinson,1826,11
shouldn,1827,11
stunned,1828,11
weather,1829,11
habit,1830,11
cliff,1831,11
parlour,1832,11
wants,1833,11
c,1834,11
